ItemId,Name,Path,CompltePath,Comment,AIComment,Tag0,Tag1,Tag2,Tag3,Tag4,Tag5,Location,Type,CTimeStamp,MTimeStamp,ATimeStamp,Size
,unittest_org.py,.,./unittest_org.py,,,,,,,,,Work,File, 1577810531.7622626 , 1577838999.0731719 , 1577810531.8852603 , 5574
,WebApp,.,./WebApp,,,,,,,,,Work,Folder, 1577316258.7888672 , 1577320727.3472917 , 1577320727.3472917 , 0

,index.html,./WebApp,./WebApp/index.html,,,,,,,,,Work,File, 1577316267.2548375 , 1577316268.2048333 , 1577316267.2548375 , 436
,logo.png,./WebApp,./WebApp/logo.png,,,,,,,,,Work,File, 1577320726.0942988 , 1577320727.6972888 , 1577320707.163756 , 23101
,scripts.js,./WebApp,./WebApp/scripts.js,,,,,,,,,Work,File, 1577320193.0287654 , 1577321766.2033525 , 1577320193.2327669 , 1277
,style.css,./WebApp,./WebApp/style.css,,,,,,,,,Work,File, 1577316320.4476337 , 1577462300.1804595 , 1577316320.683629 , 1434
,__pycache__,.,./__pycache__,,,,,,,,,Work,Folder, 1576633558.2252254 , 1577838964.8064096 , 1577838964.8064096 , 0

,imp_eg_4.cpython-38.pyc,./__pycache__,./__pycache__/imp_eg_4.cpython-38.pyc,,,,,,,,,Work,File, 1577154919.428788 , 1577154919.4297874 , 1577154919.428788 , 246
,org.cpython-38.pyc,./__pycache__,./__pycache__/org.cpython-38.pyc,,,,,,,,,Work,File, 1577838964.804408 , 1577838964.8054104 , 1577838964.804408 , 10181
,pots.cpython-38.pyc,./__pycache__,./__pycache__/pots.cpython-38.pyc,,,,,,,,,Work,File, 1576634606.75312 , 1576634606.75412 , 1576634606.75312 , 248
,support.cpython-38.pyc,./__pycache__,./__pycache__/support.cpython-38.pyc,,,,,,,,,Work,File, 1576633558.226229 , 1576633558.227225 , 1576633558.226229 , 245
